#,Game,Release date,Price,Score rank,Owners,ratings
22,Crab Champions,"Apr 1, 2023",9.99  $,N/A (N/A),"200,000 .. 500,000",9
23,The Voidness - Lidar Horror Survival Game,"Apr 6, 2023",11.99  $,N/A (N/A),"0 .. 20,000",7
24,DREDGE,"Mar 30, 2023",24.99  $,N/A (N/A),"200,000 .. 500,000",8
25,Nandemoya of Flower Street,"Apr 12, 2023",8.99  $,N/A (N/A),"0 .. 20,000",1
26,Papa's Freezeria Deluxe,"Mar 31, 2023",5.99  $,N/A (N/A),"50,000 .. 100,000",2
27,The Last of Us Part I,"Mar 28, 2023",59.99  $,N/A (N/A),"200,000 .. 500,000",7
28,ZED ZONE,"Mar 29, 2023",11.99  $,N/A (N/A),"100,000 .. 200,000",9
29,Demonologist,"Mar 27, 2023",14.99  $,N/A (N/A),"200,000 .. 500,000",5
30,Terra Nil,"Mar 28, 2023",24.99  $,N/A (N/A),"50,000 .. 100,000",9
31,Sifu,"Mar 28, 2023",39.99  $,N/A (N/A/79%),"20,000 .. 50,000",7
32,Reshaping Mars,"Mar 30, 2023",9.99  $,N/A (N/A),"50,000 .. 100,000",8
33,Resident Evil 4,"Mar 23, 2023",59.99  $,N/A (N/A),"2,000,000 .. 5,000,000",1
34,Forsake: Urban horror,"Mar 31, 2023",9.99  $,N/A (N/A),"0 .. 20,000",2
35,RAIDBORN,"Mar 29, 2023",24.99  $,N/A (N/A),"0 .. 20,000",7
36,Deceive Inc.,"Mar 21, 2023",19.99  $,N/A (N/A),"50,000 .. 100,000",9
37,Have a Nice Death,"Mar 22, 2023",24.99  $,N/A (N/A/81%),"200,000 .. 500,000",5
38,Apewar,"Mar 24, 2023",0.99  $,N/A (N/A),"50,000 .. 100,000",9
